Player,Tm,FantPos,Age,G,GS,Cmp,Att_pass,Yds_pass,TD_pass,Int_pass,Att_rush,Yds_rush,Y/A,TD_rush,Tgt,Rec,Yds_rec,Y/R,TD_rec,Fmb,FL,TD_total,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year,Team_Yds,Team_Tgt,Team_Att_rush,Team_Yds_rush
Josh Jacobs,LV,RB,24,17,17,0,0,0,0,0,340,1653,4.86,12,64,53,400,7.55,0,3,1,12,0,0,275,328.3,335.3,301.8,127,1,2,2022,6244,558,427,2062
Christian McCaffrey,2TM,RB,26,17,16,1,1,34,1,0,244,1139,4.67,8,108,85,741,8.72,5,1,0,13,0,0,271,356.4,362.4,313.9,123,2,3,2022,6488,741,969,4290
Derrick Henry,TEN,RB,28,16,16,2,2,4,1,0,349,1538,4.41,13,41,33,398,12.06,0,6,3,13,0,0,270,302.8,311.8,286.3,122,3,4,2022,5333,428,482,2106
Austin Ekeler,LAC,RB,27,17,17,0,0,0,0,0,204,915,4.49,13,127,107,722,6.75,5,5,3,18,0,0,266,372.7,381.7,319.2,118,4,6,2022,6315,687,404,1524
Nick Chubb,CLE,RB,27,17,17,0,0,0,0,0,302,1525,5.05,12,37,27,239,8.85,1,1,1,13,1,0,254,281.4,288.4,267.9,107,5,10,2022,6200,496,532,2490
Saquon Barkley,NYG,RB,25,16,16,0,0,0,0,0,295,1312,4.45,10,76,57,338,5.93,0,1,0,10,1,0,227,284.0,290.0,255.5,82,6,15,2022,5930,419,516,2499
Jamaal Williams,DET,RB,27,17,9,0,0,0,0,0,262,1066,4.07,17,16,12,73,6.08,0,3,2,17,1,0,214,225.9,230.9,219.9,69,7,18,2022,6562,519,478,2124
Tony Pollard,DAL,RB,25,16,4,0,0,0,0,0,193,1007,5.22,9,55,39,371,9.51,3,0,0,12,0,0,210,248.8,254.8,229.3,65,8,20,2022,6209,545,530,2298
Dalvin Cook,MIN,RB,27,17,17,0,0,0,0,0,264,1173,4.44,8,56,39,295,7.56,2,4,4,10,0,0,199,237.8,247.8,218.3,55,9,21,2022,6466,555,404,1661
Miles Sanders,PHI,RB,25,17,15,0,0,0,0,0,259,1269,4.9,11,26,20,78,3.9,0,2,2,11,0,0,197,216.7,221.7,206.7,53,10,22,2022,6873,505,544,2509
Aaron Jones,GB,RB,28,17,17,0,0,0,0,0,213,1121,5.26,2,72,59,395,6.69,5,5,3,7,1,0,190,248.6,257.6,219.1,46,11,26,2022,6003,509,455,2113
Najee Harris,PIT,RB,24,17,17,1,1,4,0,0,272,1034,3.8,7,53,41,229,5.59,3,3,2,10,0,0,182,223.5,231.5,203.0,40,12,31,2022,5674,498,491,2014
Rhamondre Stevenson,NE,RB,24,17,7,0,0,0,0,0,210,1040,4.95,5,88,69,421,6.1,1,4,1,6,0,0,180,249.1,256.1,214.6,37,13,33,2022,5627,514,425,1812
Joe Mixon,CIN,RB,26,14,14,0,0,0,0,0,210,814,3.88,7,75,60,441,7.35,2,0,0,9,0,0,180,239.5,245.5,209.5,37,14,34,2022,6048,594,399,1528
Kenneth Walker III,SEA,RB,22,15,11,0,0,0,0,0,228,1050,4.61,9,35,27,165,6.11,0,0,0,9,0,0,176,202.5,208.5,189.0,33,15,37,2022,6326,547,415,2044
Travis Etienne,JAX,RB,23,17,12,0,0,0,0,0,220,1125,5.11,5,45,35,316,9.03,0,5,3,5,1,0,170,205.1,214.1,187.6,28,16,43,2022,5924,563,367,1776
Ezekiel Elliott,DAL,RB,27,15,14,0,0,0,0,0,231,876,3.79,12,23,17,92,5.41,0,0,0,12,0,0,169,185.8,188.8,177.3,27,17,44,2022,6209,545,530,2298
Alvin Kamara,NO,RB,27,15,13,0,0,0,0,0,223,897,4.02,2,77,57,490,8.6,2,4,4,4,0,0,155,211.7,221.7,183.2,14,18,54,2022,5873,487,448,1904
James Conner,ARI,RB,27,13,13,0,0,0,0,0,183,782,4.27,7,58,46,300,6.52,1,3,1,8,0,0,154,200.2,207.2,177.2,13,19,55,2022,5536,579,364,1574
Leonard Fournette,TB,RB,27,16,9,0,1,0,0,1,189,668,3.53,3,83,73,523,7.16,3,0,0,6,0,0,153,226.1,233.1,190.6,12,20,56,2022,6052,717,385,1306
David Montgomery,CHI,RB,25,16,16,0,0,0,0,0,201,801,3.99,5,40,34,316,9.29,1,2,2,6,0,0,144,177.7,185.7,160.7,3,21,66,2022,5609,326,556,3011
D'Andre Swift,DET,RB,23,14,8,0,0,0,0,0,99,542,5.47,5,70,48,389,8.1,3,1,0,8,1,0,143,191.1,197.1,167.1,3,23,67,2022,6562,519,478,2124
Tyler Allgeier,ATL,RB,22,16,7,0,0,0,0,0,210,1035,4.93,3,17,16,139,8.69,1,0,0,4,1,0,143,159.4,165.4,151.4,3,22,68,2022,5645,400,559,2718
AJ Dillon,GB,RB,24,17,3,0,0,0,0,0,186,770,4.14,7,43,28,206,7.36,0,1,0,7,0,0,140,167.6,173.6,153.6,0,26,0,2022,6003,509,455,2113
Jerick McKinnon,KC,RB,30,17,0,0,0,0,0,0,72,291,4.04,1,71,56,512,9.14,9,1,1,10,1,0,140,196.3,203.3,168.3,0,24,0,2022,7161,597,412,1911
Devin Singletary,BUF,RB,25,16,16,0,0,0,0,0,177,819,4.63,5,52,38,280,7.37,1,3,3,6,0,0,140,177.9,186.9,158.9,0,25,0,2022,6435,526,407,2144
Raheem Mostert,MIA,RB,30,16,14,0,0,0,0,0,181,891,4.92,3,42,31,202,6.52,2,1,1,5,0,0,137,168.3,175.3,152.8,0,27,0,2022,5939,521,262,1174
Jeff Wilson,2TM,RB,27,16,7,0,0,0,0,0,176,860,4.89,5,37,22,185,8.41,1,3,2,6,0,0,137,158.5,166.5,147.5,0,28,0,2022,6488,741,969,4290
Dameon Pierce,HOU,RB,22,13,13,0,0,0,0,0,220,939,4.27,4,39,30,165,5.5,1,4,2,5,0,0,136,166.4,174.4,151.4,0,29,0,2022,5107,528,392,1465
Cordarrelle Patterson,ATL,RB,31,13,11,0,0,0,0,0,144,695,4.83,8,31,21,122,5.81,0,1,1,9,0,0,134,154.7,161.7,144.2,0,30,0,2022,5645,400,559,2718
Cam Akers,LAR,RB,23,15,9,0,0,0,0,0,188,786,4.18,7,18,13,117,9.0,0,2,2,7,0,0,128,141.3,149.3,134.8,0,31,0,2022,4262,516,396,1624
Latavius Murray,2TM,RB,32,13,7,0,0,0,0,0,171,760,4.44,6,35,27,132,4.89,0,1,0,6,1,0,127,154.2,160.2,140.7,0,32,0,2022,6488,741,969,4290
D'Onta Foreman,CAR,RB,26,17,9,0,0,0,0,0,203,914,4.5,5,9,5,26,5.2,0,1,0,5,1,0,126,131.0,134.0,128.5,0,33,0,2022,3696,357,381,1763
Isiah Pacheco,KC,RB,23,17,11,0,0,0,0,0,170,830,4.88,5,14,13,130,10.0,0,4,2,5,0,0,122,135.0,143.0,128.5,0,34,0,2022,7161,597,412,1911
Antonio Gibson,WAS,RB,24,15,6,0,0,0,0,0,149,546,3.66,3,58,46,353,7.67,2,1,0,5,0,0,120,165.9,171.9,142.9,0,35,0,2022,5926,531,538,2143
Jonathan Taylor,IND,RB,23,11,11,0,0,0,0,0,192,861,4.48,4,40,28,143,5.11,0,3,3,4,0,0,118,146.4,155.4,132.4,0,36,0,2022,5319,546,345,1465
Khalil Herbert,CHI,RB,24,13,1,0,0,0,0,0,129,731,5.67,4,12,9,57,6.33,1,0,0,5,0,0,109,117.8,120.8,113.3,0,37,0,2022,5609,326,556,3011
Samaje Perine,CIN,RB,27,16,2,0,0,0,0,0,95,394,4.15,2,51,38,287,7.55,4,0,0,6,0,0,104,142.1,148.1,123.1,0,38,0,2022,6048,594,399,1528
Brian Robinson Jr.,WAS,RB,23,12,9,0,0,0,0,0,205,797,3.89,2,12,9,60,6.67,1,2,0,3,0,0,104,112.7,115.7,108.2,0,39,0,2022,5926,531,538,2143
Breece Hall,NYJ,RB,21,7,2,0,0,0,0,0,80,463,5.79,4,31,19,218,11.47,1,1,1,5,0,0,96,115.1,122.1,105.6,0,40,0,2022,5622,584,375,1599
Kareem Hunt,CLE,RB,27,17,0,0,0,0,0,0,123,468,3.8,3,44,35,210,6.0,1,1,0,4,0,0,92,126.8,132.8,109.3,0,41,0,2022,6200,496,532,2490
Rachaad White,TB,RB,23,17,8,0,0,0,0,0,129,481,3.73,1,58,50,290,5.8,2,3,3,3,0,0,89,139.1,148.1,114.1,0,42,0,2022,6052,717,385,1306
