RK,TIERS,PLAYER NAME,TEAM,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Ja'Marr Chase,CIN,10,3 out of 5 stars,0
2,1,CeeDee Lamb,DAL,10,2 out of 5 stars,1
3,1,Justin Jefferson,MIN,6,2 out of 5 stars,-1
4,2,Nico Collins,HOU,6,4 out of 5 stars,3
5,2,Brian Thomas Jr.,JAC,8,4 out of 5 stars,3
6,2,Malik Nabers,NYG,14,2 out of 5 stars,-2
7,2,Puka Nacua,LAR,8,3 out of 5 stars,-1
8,2,Amon-Ra St. Brown,DET,8,3 out of 5 stars,-3
9,2,A.J. Brown,PHI,9,3 out of 5 stars,1
10,2,Drake London,ATL,5,3 out of 5 stars,-1
11,3,Ladd McConkey,LAC,12,3 out of 5 stars,0
12,3,Tee Higgins,CIN,10,3 out of 5 stars,0
13,3,Mike Evans,TB,9,3 out of 5 stars,4
14,3,Tyreek Hill,MIA,12,3 out of 5 stars,-1
15,3,Jaxon Smith-Njigba,SEA,8,3 out of 5 stars,-1
16,3,Davante Adams,LAR,8,3 out of 5 stars,-1
17,4,Garrett Wilson,NYJ,9,4 out of 5 stars,2
18,4,Marvin Harrison Jr.,ARI,8,4 out of 5 stars,0
19,4,Terry McLaurin,WAS,12,3 out of 5 stars,-3
20,4,DK Metcalf,PIT,5,4 out of 5 stars,1
21,4,Jameson Williams,DET,8,3 out of 5 stars,7
22,4,Courtland Sutton,DEN,12,3 out of 5 stars,0
23,4,DJ Moore,CHI,5,2 out of 5 stars,-3
24,4,Xavier Worthy,KC,10,3 out of 5 stars,-1
25,4,Calvin Ridley,TEN,10,4 out of 5 stars,5
26,4,Zay Flowers,BAL,7,3 out of 5 stars,0
27,4,George Pickens,DAL,10,2 out of 5 stars,2
28,4,DeVonta Smith,PHI,9,3 out of 5 stars,-4
29,4,Tetairoa McMillan,CAR,14,4 out of 5 stars,-2
30,5,Jaylen Waddle,MIA,12,3 out of 5 stars,3
31,5,Travis Hunter,JAC,8,4 out of 5 stars,0
32,5,Rashee Rice,KC,10,3 out of 5 stars,-7
33,5,Rome Odunze,CHI,5,2 out of 5 stars,6
34,5,Ricky Pearsall,SF,14,4 out of 5 stars,7
35,5,Chris Olave,NO,11,4 out of 5 stars,0
36,5,Jerry Jeudy,CLE,9,2 out of 5 stars,-4
37,5,Deebo Samuel Sr.,WAS,12,3 out of 5 stars,-3
38,5,Jordan Addison,MIN,6,2 out of 5 stars,-2
39,6,Jayden Reed,GB,5,2 out of 5 stars,5
40,6,Emeka Egbuka,TB,9,3 out of 5 stars,6
41,6,Jauan Jennings,SF,14,4 out of 5 stars,6
42,6,Jakobi Meyers,LV,8,4 out of 5 stars,-5
43,6,Stefon Diggs,NE,14,3 out of 5 stars,-3
44,6,Chris Godwin,TB,9,3 out of 5 stars,-6
45,6,Khalil Shakir,BUF,7,3 out of 5 stars,0
46,6,Matthew Golden,GB,5,2 out of 5 stars,-3
47,6,Josh Downs,IND,11,4 out of 5 stars,5
48,6,Keon Coleman,BUF,7,3 out of 5 stars,2
49,6,Cooper Kupp,SEA,8,3 out of 5 stars,-7
50,6,Darnell Mooney,ATL,5,3 out of 5 stars,1
51,6,Michael Pittman Jr.,IND,11,4 out of 5 stars,-3
52,6,Brandon Aiyuk,SF,14,4 out of 5 stars,-3
53,6,Rashid Shaheed,NO,11,4 out of 5 stars,3
54,6,Rashod Bateman,BAL,7,3 out of 5 stars,4
55,6,Christian Kirk,HOU,6,4 out of 5 stars,-1
56,7,Marvin Mims Jr.,DEN,12,3 out of 5 stars,-1
57,7,Luther Burden III,CHI,5,2 out of 5 stars,5
58,7,Cedric Tillman,CLE,9,2 out of 5 stars,10
59,7,Romeo Doubs,GB,5,2 out of 5 stars,2
60,7,Marquise Brown,KC,10,3 out of 5 stars,4
61,7,Kyle Williams,NE,14,3 out of 5 stars,8
62,7,Jayden Higgins,HOU,6,4 out of 5 stars,-9
63,7,Adam Thielen,CAR,14,4 out of 5 stars,-4
